,Universal Enchantments,,
,,,
Name,Description,Applies To,Conflicts With
Restore,"When an item breaks, it loses the enchantment and is brought back to certain durability.",All Items,-
Soulbound,Prevents item from being dropped upon death.,All Items,-
Curse of Vanishing,Item vanishes upon death.,All Items,-
Curse of Breaking,Chance to take extra durability damage.,All Items,-
Unbreaking,Increases item durability.,All Items,Curse of Mediocrity
Curse of Misfortune,Chance to have no drop/loot from mobs or blocks.,"Tools, Weapons","Fortune, Looting"
Curse of Fragility,Prevents item from being grindstoned or anviled.,All Items,-
